name,imageUrl,url,marketPrice,extNumber
Dice,https://tcgplayer-cdn.tcgplayer.com/product/545786_200w.jpg,https://cpt.tcgcsv.com/Lkn6,0.03,OP07-007,1000
Mr. Tanaka,https://tcgplayer-cdn.tcgplayer.com/product/545787_200w.jpg,https://cpt.tcgcsv.com/Mkn6,0.03,OP07-008,
Dogura & Magura,https://tcgplayer-cdn.tcgplayer.com/product/545788_200w.jpg,https://cpt.tcgcsv.com/Nkn6,0.04,OP07-009,1000
Baccarat,https://tcgplayer-cdn.tcgplayer.com/product/545789_200w.jpg,https://cpt.tcgcsv.com/Pkn6,0.27,OP07-010,1000
Bluejam,https://tcgplayer-cdn.tcgplayer.com/product/545790_200w.jpg,https://cpt.tcgcsv.com/Qkn6,0.06,OP07-011,1000
Porchemy,https://tcgplayer-cdn.tcgplayer.com/product/545791_200w.jpg,https://cpt.tcgcsv.com/Rkn6,0.02,OP07-012,1000
Masked Deuce,https://tcgplayer-cdn.tcgplayer.com/product/545792_200w.jpg,https://cpt.tcgcsv.com/Skn6,0.08,OP07-013,1000
Moda,https://tcgplayer-cdn.tcgplayer.com/product/545793_200w.jpg,https://cpt.tcgcsv.com/Tkn6,0.07,OP07-014,2000
Monkey.D.Dragon (015),https://tcgplayer-cdn.tcgplayer.com/product/545794_200w.jpg,https://cpt.tcgcsv.com/Vkn6,7.51,OP07-015,
Monkey.D.Dragon (015) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545795_200w.jpg,https://cpt.tcgcsv.com/Wkn6,24.66,OP07-015,
Galaxy Wink,https://tcgplayer-cdn.tcgplayer.com/product/545796_200w.jpg,https://cpt.tcgcsv.com/Xkn6,0.11,OP07-016,
Dragon Breath,https://tcgplayer-cdn.tcgplayer.com/product/545797_200w.jpg,https://cpt.tcgcsv.com/Zkn6,0.08,OP07-017,
Keep Out,https://tcgplayer-cdn.tcgplayer.com/product/545798_200w.jpg,https://cpt.tcgcsv.com/-kn6,0.03,OP07-018,
Jewelry Bonney (019),https://tcgplayer-cdn.tcgplayer.com/product/545799_200w.jpg,https://cpt.tcgcsv.com/_kn6,0.1,OP07-019,
Jewelry Bonney (019) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545800_200w.jpg,https://cpt.tcgcsv.com/0ln6,65.83,OP07-019,
Aladine,https://tcgplayer-cdn.tcgplayer.com/product/545801_200w.jpg,https://cpt.tcgcsv.com/2ln6,0.08,OP07-020,
Urouge,https://tcgplayer-cdn.tcgplayer.com/product/545802_200w.jpg,https://cpt.tcgcsv.com/3ln6,0.18,OP07-021,1000
Otama,https://tcgplayer-cdn.tcgplayer.com/product/545803_200w.jpg,https://cpt.tcgcsv.com/5ln6,0.31,OP07-022,2000
Otama (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545804_200w.jpg,https://cpt.tcgcsv.com/6ln6,10.79,OP07-022,2000
Caribou,https://tcgplayer-cdn.tcgplayer.com/product/545805_200w.jpg,https://cpt.tcgcsv.com/7ln6,0.06,OP07-023,1000
Koala,https://tcgplayer-cdn.tcgplayer.com/product/545806_200w.jpg,https://cpt.tcgcsv.com/8ln6,0.03,OP07-024,1000
Coribou,https://tcgplayer-cdn.tcgplayer.com/product/545807_200w.jpg,https://cpt.tcgcsv.com/9ln6,0.02,OP07-025,
Jewelry Bonney (026),https://tcgplayer-cdn.tcgplayer.com/product/545808_200w.jpg,https://cpt.tcgcsv.com/bln6,1.06,OP07-026,1000
Jewelry Bonney (026) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545809_200w.jpg,https://cpt.tcgcsv.com/cln6,23.48,OP07-026,1000
Jinbe (027),https://tcgplayer-cdn.tcgplayer.com/product/545810_200w.jpg,https://cpt.tcgcsv.com/dln6,0.05,OP07-027,1000
Scratchmen Apoo,https://tcgplayer-cdn.tcgplayer.com/product/545811_200w.jpg,https://cpt.tcgcsv.com/fln6,0.03,OP07-028,1000
Basil Hawkins,https://tcgplayer-cdn.tcgplayer.com/product/545812_200w.jpg,https://cpt.tcgcsv.com/gln6,0.48,OP07-029,
Basil Hawkins (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545813_200w.jpg,https://cpt.tcgcsv.com/hln6,10.65,OP07-029,
Pappag,https://tcgplayer-cdn.tcgplayer.com/product/545814_200w.jpg,https://cpt.tcgcsv.com/jln6,0.04,OP07-030,2000
